business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Activities related to tobacco farming.,39778.88,CropGen,Procured for tobacco farming operations.,Tobacco Farming
Activities related to other poultry production.,44028.17,CropGen,Procured for other poultry production operations.,Other Poultry Production
Activities related to sugar beet farming.,12048.26,BioHarvest,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to sheep farming.,47385.24,EcoFarms,Procured for sheep farming operations.,Sheep Farming
Activities related to turkey production.,5738.38,BioHarvest,Procured for turkey production operations.,Turkey Production
Activities related to tobacco farming.,11448.05,CropGen,Procured for tobacco farming operations.,Tobacco Farming
Activities related to cattle feedlots.,17941.96,AgriCorp,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to dairy cattle and milk production.,27873.54,BioHarvest,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to dual-purpose cattle ranching and farming.,31642.53,BioHarvest,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to other aquaculture.,14379.36,EcoFarms,Procured for other aquaculture operations.,Other Aquaculture
Activities related to fruit and tree nut combination farming.,26354.14,CropGen,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to apple orchards.,28334.16,FreshFields,Procured for apple orchards operations.,Apple Orchards
Activities related to fur-bearing animal and rabbit production.,17931.46,CropGen,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to shellfish farming.,27321.72,CropGen,Procured for shellfish farming operations.,Shellfish Farming
Activities related to all other grain farming.,29681.22,EcoFarms,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to oilseed (except soybean) farming.,32391.33,AgriCorp,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to citrus (except orange) groves.,34202.75,EcoFarms,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to other poultry production.,26951.32,EcoFarms,Procured for other poultry production operations.,Other Poultry Production
Activities related to oilseed (except soybean) farming.,4721.21,BioHarvest,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to fruit and tree nut combination farming.,30759.09,CropGen,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to other poultry production.,33227.22,AgriCorp,Procured for other poultry production operations.,Other Poultry Production
Activities related to all other miscellaneous crop farming.,36683.62,AgriCorp,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to poultry hatcheries.,34867.78,FreshFields,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to sugar beet farming.,30447.08,BioHarvest,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to sugarcane farming.,6776.52,AgriCorp,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to goat farming.,37034.53,EcoFarms,Procured for goat farming operations.,Goat Farming
Activities related to nursery and tree production.,8268.62,FreshFields,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to other noncitrus fruit farming.,29607.15,AgriCorp,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to all other animal production.,35238.84,EcoFarms,Procured for all other animal production operations.,All Other Animal Production
Activities related to oilseed (except soybean) farming.,47520.34,FreshFields,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to fruit and tree nut combination farming.,24925.23,EcoFarms,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to orange groves.,4408.04,BioHarvest,Procured for orange groves operations.,Orange Groves
Activities related to hay farming.,26690.68,AgriCorp,Procured for hay farming operations.,Hay Farming
Activities related to other poultry production.,4724.17,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to goat farming.,17251.93,EcoFarms,Procured for goat farming operations.,Goat Farming
Activities related to oilseed and grain combination farming.,32200.24,AgriCorp,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to tree nut farming.,44407.35,FreshFields,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to chicken egg production.,17440.16,CropGen,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to orange groves.,39869.85,CropGen,Procured for orange groves operations.,Orange Groves
Activities related to other aquaculture.,35795.67,FreshFields,Procured for other aquaculture operations.,Other Aquaculture
Activities related to rice farming.,13533.99,FreshFields,Procured for rice farming operations.,Rice Farming
Activities related to dry pea and bean farming.,11821.23,AgriCorp,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to potato farming.,45339.41,CropGen,Procured for potato farming operations.,Potato Farming
Activities related to all other grain farming.,22234.87,AgriCorp,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to all other animal production.,49692.32,FreshFields,Procured for all other animal production operations.,All Other Animal Production
Activities related to other noncitrus fruit farming.,29687.6,AgriCorp,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to other aquaculture.,33355.75,CropGen,Procured for other aquaculture operations.,Other Aquaculture
Activities related to all other animal production.,29390.27,FreshFields,Procured for all other animal production operations.,All Other Animal Production
Activities related to cotton farming.,42131.51,FreshFields,Procured for cotton farming operations.,Cotton Farming
Activities related to dairy cattle and milk production.,29875.29,EcoFarms,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to sheep farming.,22514.63,BioHarvest,Procured for sheep farming operations.,Sheep Farming
Activities related to cattle feedlots.,8201.09,CropGen,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to goat farming.,12097.59,BioHarvest,Procured for goat farming operations.,Goat Farming
Activities related to hay farming.,38220.76,EcoFarms,Procured for hay farming operations.,Hay Farming
Activities related to corn farming.,10045.67,EcoFarms,Procured for corn farming operations.,Corn Farming
Activities related to fruit and tree nut combination farming.,12214.58,CropGen,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to turkey production.,44161.14,AgriCorp,Procured for turkey production operations.,Turkey Production
Activities related to all other grain farming.,43114.18,CropGen,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to hog and pig farming.,1421.22,AgriCorp,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to poultry hatcheries.,38488.44,EcoFarms,Procured for poultry hatcheries operations.,Poultry Hatcheries
